time anode_char cathode_char
2170 1.09916464292137 -1.09916464292137
2180 1.10428203021507 -1.10428203021507
2190 1.10931199294242 -1.10931199294242
2200 1.11427780059997 -1.11427780059997
2210 1.11920866656179 -1.11920866656179
2220 1.12413659115447 -1.12413659115447
2230 1.12909111896909 -1.12909111896909
2240 1.1340919164622 -1.1340919164622
2250 1.1391394210118 -1.13913942101179
2260 1.14420735798805 -1.14420735798805
2270 1.1492425861417 -1.14924258614171
2280 1.15417504506445 -1.15417504506444
2290 1.15893906053015 -1.15893906053015
2300 1.16350568127049 -1.16350568127049
2310 1.16791369772304 -1.16791369772305
2320 1.17227059464502 -1.17227059464502
2330 1.17670920085846 -1.17670920085846
2340 1.18133273969561 -1.18133273969561
2350 1.18618994433591 -1.18618994433591
2360 1.19127848008285 -1.19127848008285
2370 1.19655752950573 -1.19655752950573
2380 1.20196447569171 -1.20196447569171
2390 1.2074317749905 -1.2074317749905
2400 1.21289807585019 -1.2128980758502
2410 1.21831215970371 -1.21831215970371
2420 1.22363234843653 -1.22363234843653
2430 1.22882635860349 -1.22882635860349
2440 1.23387593190737 -1.23387593190737
2450 1.2387846310943 -1.2387846310943
2460 1.2435779697963 -1.2435779697963
2470 1.24828615949074 -1.24828615949074
2480 1.25292253011678 -1.25292253011678
2490 1.25748384627383 -1.25748384627383
2500 1.26197087291505 -1.26197087291505
2510 1.26639566294588 -1.26639566294588
2520 1.27076245359763 -1.27076245359763
2530 1.27505127934194 -1.27505127934194
2540 1.27922550338266 -1.27922550338266
2550 1.28325411100751 -1.28325411100751
2560 1.28712880363298 -1.28712880363297
2570 1.29086159202693 -1.29086159202693
2580 1.29446665708181 -1.29446665708181
2590 1.29794525474015 -1.29794525474015
2600 1.30128731580393 -1.30128731580393
2610 1.30448423564601 -1.30448423564602
2620 1.30753656078806 -1.30753656078806
2630 1.31045136048236 -1.31045136048236
2640 1.31323685578305 -1.31323685578305
2650 1.31590201754117 -1.31590201754117
2660 1.31846161977843 -1.31846161977843
2670 1.32093947863717 -1.32093947863717
2680 1.32336262125245 -1.32336262125245
2690 1.32574850005311 -1.32574850005311
2700 1.3280944670552 -1.3280944670552
2710 1.33037648370669 -1.33037648370669
2720 1.33255720621082 -1.33255720621083
2730 1.33460109902936 -1.33460109902936
2740 1.33649181152433 -1.33649181152433
2750 1.33824330607177 -1.33824330607176
2760 1.33989876998708 -1.33989876998708
2770 1.34151779686553 -1.34151779686553
2780 1.34315602291722 -1.34315602291722
2790 1.34484519407631 -1.34484519407632
2800 1.3465814767696 -1.3465814767696
2810 1.34832619641599 -1.348326196416
2820 1.35002708239477 -1.35002708239477
2830 1.35165043793509 -1.3516504379351
2840 1.35318014883827 -1.35318014883827
2850 1.35458270705849 -1.35458270705849
2860 1.35579212870329 -1.35579212870329
2870 1.35672992733302 -1.35672992733303
2880 1.35733133310413 -1.35733133310413
2890 1.35755384800759 -1.35755384800759
2900 1.3573739444563 -1.3573739444563
2910 1.35678658664935 -1.35678658664935
2920 1.35581178624495 -1.35581178624495
2930 1.35450203295267 -1.35450203295267
2940 1.35293849085938 -1.35293849085937
2950 1.35121100906136 -1.35121100906137
2960 1.34939765956326 -1.34939765956327
2970 1.34756029153603 -1.34756029153603
2980 1.34575317956806 -1.34575317956806
2990 1.34403199580944 -1.34403199580944
3000 1.34245084883119 -1.3424508488312
3010 1.34104910691344 -1.34104910691343
3020 1.3398463735803 -1.33984637358031
3030 1.33885245148716 -1.33885245148716
3040 1.33808081949238 -1.33808081949238
3050 1.33756188181931 -1.33756188181931
